Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2
29970,1.5615919828,106514970,427.1150512695,216029970,776.3225708008
59970,1.8105342388,106529970,364.8283691406,216059970,586.7738037109
89970,5.9768166542,106559970,338.1323242188,216089970,578.0819702148
119970,7.2751741409,106589970,358.0758666992,216119970,593.5554199219
149970,13.5425672531,106619970,533.5415039063,216149970,546.2907104492
179970,12.4661474228,106634970,18.4719676971,216179970,548.7907714844
209970,21.6515426636,106649970,255.2845306396,216209970,584.8215942383
239970,19.552728653,106679970,441.6147155762,216224970,322.5717163086
269970,4.8102221489,106694970,32.4433288574,216239970,638.5622558594
299970,10.4565525055,106709970,337.0872192383,216254970,39.8991584778
329970,13.4398393631,106739970,375.495300293,216269970,606.2360839844
359970,12.7910175323,106769970,389.0570678711,216299970,624.3666381836
389970,14.1928091049,106784970,144.2501983643,216329970,667.368347168
419970,18.9010906219,106799970,354.6976623535,216344970,61.6109924316
449970,18.228099823,106829970,347.725189209,216359970,517.6936645508
479970,33.7232170105,106844970,305.823059082,216374970,879.5690307617
509970,8.6461753845,106859970,325.6648254395,216389970,484.3235168457
539970,13.9972295761,106874970,81.603225708,216419970,778.4217529297
569970,18.5229244232,106889970,383.2069702148,216449970,439.2125244141
599970,39.9122123718,106904970,164.2586669922,216479970,856.4805908203
629970,21.3108310699,106919970,287.8486022949,216494970,76.479133606
659970,35.3605537415,106949970,383,216509970,664.135559082
689970,30.8268222809,106979970,302.0561523438,216539970,521.9289550781
719970,21.4281330109,107009970,350.3723754883,216569970,681.1892089844
749970,39.735080719,107024970,272.0968933105,216599970,445.3581237793
779970,42.7902297974,107039970,459.216003418,216614970,26.051776886
809970,17.6826705933,107069970,294.7477416992,216629970,666.1694946289
839970,8.7381696701,107084970,240.1160430908,216659970,640.4759521484
869970,26.0468463898,107099970,362.199798584,216689970,480.421661377
899970,20.3305492401,107129970,387.3228149414,216704970,78.9936141968
929970,24.4456520081,107159970,338.8992919922,216719970,555.1323242188
959970,19.1624546051,107189970,487.6450500488,216734970,397.0459899902
989970,25.0273189545,107204970,11.3149366379,216749970,684.6569824219
1019970,22.6780281067,107219970,341.0150146484,216779970,617.9645996094
1049970,8.6447257996,107249970,290.7924804688,216809970,630.956237793
1079970,6.3510503769,107279970,373.4662780762,216839970,578.7186279297
1109970,12.7673196793,107309970,443.6553649902,216869970,818.9304199219
1139970,17.3340778351,107339970,363.6605834961,216899970,615.5140380859
1169970,23.8536663055,107354970,160.2258911133,216914970,558.503112793
1199970,11.7638139725,107369970,350.3806152344,216929970,723.6156005859
1229970,19.4439640045,107399970,354.4341125488,216959970,423.870300293
1259970,22.0061702728,107414970,179.7617340088,216974970,351.7366333008
1289970,11.1302614212,107429970,280.4643859863,216989970,709.246887207
1319970,24.8936634064,107459970,264.1475219727,217019970,490.201965332
