Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
14970,-0.5894875526,45614970,190.7617797852,67814970,160.691116333,135314970,134.8157653809
29970,5.3692083359,45629970,1376.1572265625,67829970,667.6248779297,135329970,999.7166748047
44970,-16.2956809998,45644970,107.4858093262,67844970,199.7014007568,135344970,143.8448791504
59970,-0.6529321671,45659970,1404.3425292969,67859970,836.279296875,135359970,758.7798461914
89970,-8.0088844299,45674970,146.7213134766,67874970,226.3958892822,135374970,250.2515106201
104970,54.7328567505,45689970,1004.1911010742,67889970,841.3403930664,135389970,1044.1345214844
119970,-3.8767259121,45704970,363.783996582,67904970,192.8817443848,135404970,97.8515014648
134970,16.831155777,45719970,1157.4459228516,67919970,851.9520263672,135419970,961.8570556641
149970,-1.3569529057,45749970,1357.9952392578,67934970,216.5334014893,135434970,166.1704711914
164970,-27.0362739563,45764970,245.4286651611,67949970,818.6646118164,135449970,890.9787597656
179970,-4.1280045509,45779970,1341.0140380859,67964970,256.7431945801,135464970,183.1116790771
194970,-7.6262979507,45794970,102.5476608276,67979970,791.3114013672,135479970,854.3842163086
209970,-2.3741178513,45809970,1294.275390625,67994970,229.8789978027,135494970,267.0772705078
224970,31.4879741669,45824970,175.9971923828,68009970,1107.3988037109,135509970,851.3283691406
239970,-20.2333202362,45839970,1261.8572998047,68024970,168.0483856201,135524970,147.0138702393
269970,-2.2177128792,45854970,201.5978240967,68039970,847.6874389648,135539970,950.8771362305
299970,1.8184082508,45869970,1450.3046875,68054970,252.2012176514,135554970,247.1112823486
329970,1.044532299,45884970,119.9825210571,68069970,949.0175170898,135569970,1077.5246582031
359970,10.582036972,45899970,1212.5301513672,68084970,192.8282470703,135584970,264.4096984863
389970,10.4780921936,45914970,206.0304718018,68099970,906.378112793,135599970,871.233215332
404970,6.4111351967,45929970,1388.2288818359,68114970,108.2779006958,135614970,131.5327453613
419970,9.441868782,45944970,60.7589950562,68129970,941.8953857422,135629970,857.6204833984
449970,-3.8656256199,45959970,1494.5205078125,68144970,197.228012085,135644970,129.0226593018
464970,9.3955183029,45989970,1324.0526123047,68159970,928.639831543,135659970,951.598449707
479970,3.6469109058,46004970,149.4092559814,68174970,88.9206085205,135674970,218.4355773926
509970,5.8486943245,46019970,1315.0723876953,68189970,780.4306030273,135689970,953.3811035156
539970,5.6543364525,46034970,180.631439209,68204970,149.5052185059,135704970,286.7640380859
554970,5.9850678444,46049970,1158.7353515625,68219970,873.0237426758,135719970,962.1747436523
569970,23.2978782654,46064970,80.1826248169,68234970,307.6015930176,135734970,211.8622131348
584970,12.3065261841,46079970,1231.6059570313,68249970,778.5082397461,135749970,964.5917358398
599970,30.3647785187,46094970,285.1550598145,68264970,283.1424560547,135764970,203.888168335
614970,27.4517459869,46109970,1125.1811523438,68279970,726.6318969727,135779970,868.9611206055
629970,16.7181663513,46124970,318.11328125,68294970,225.4328155518,135794970,213.8029632568
644970,3.7663192749,46139970,1284.1680908203,68309970,995.4053955078,135809970,826.4085083008
659970,32.4151382446,46154970,120.252784729,68324970,151.5389556885,135824970,167.3672332764
674970,34.4931678772,46169970,1267.5227050781,68339970,724.6966552734,135839970,881.0974731445
689970,28.9623470306,46184970,130.4315948486,68354970,206.7255096436,135854970,701.5616455078
