Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
14970,48.6379890442,41414970,158.2755279541,67214970,282.8591918945,162629970,747.8053588867
29970,14.9409618378,41429970,1504.7717285156,67229970,1129.4920654297,162644970,142.6750793457
44970,28.905664444,41444970,331.4028930664,67244970,198.2425537109,162659970,776.701965332
59970,-1.2675396204,41459970,1467.4860839844,67259970,780.137878418,162674970,360.5832214355
74970,45.4574966431,41489970,1365.6430664063,67274970,320.2505187988,162689970,994.9112548828
89970,3.3470048904,41519970,1422.7109375,67289970,1052.9294433594,162704970,173.1652984619
104970,23.5397586823,41534970,78.8921737671,67304970,175.8827819824,162719970,983.7669677734
119970,10.9388341904,41549970,1562.8637695313,67319970,891.3543701172,162734970,228.7349090576
134970,52.8951568604,41579970,1201.7478027344,67334970,54.0900497437,162749970,931.423034668
149970,14.8666114807,41594970,-43.5837249756,67349970,919.1143798828,162764970,278.6647033691
179970,14.4454336166,41609970,1514.3774414063,67364970,210.322769165,162779970,833.0419311523
194970,24.6664886475,41624970,111.6883621216,67379970,994.3451538086,162794970,208.0378875732
209970,15.9040908813,41639970,1459.4400634766,67394970,144.0919189453,162809970,817.4237060547
224970,49.3431930542,41669970,1531.1971435547,67409970,1027.3924560547,162824970,258.4342651367
239970,9.7648038864,41699970,1311.5509033203,67424970,153.8048095703,162839970,789.8939208984
254970,49.7216720581,41729970,1392.3061523438,67439970,867.2266235352,162854970,242.6422424316
269970,1.1721038818,41759970,1316.1954345703,67454970,99.6522521973,162869970,782.0190429688
284970,42.0816078186,41774970,111.9315719605,67469970,1093.6407470703,162899970,1040.51953125
299970,2.1717181206,41789970,1549.1291503906,67484970,257.5966491699,162914970,-34.5363235474
314970,26.340215683,41804970,216.9460449219,67499970,1040.6462402344,162929970,897.551574707
329970,6.0689578056,41819970,1517.0047607422,67514970,223.5486602783,162944970,138.8537597656
344970,46.8288803101,41834970,72.3285903931,67529970,834.7780761719,162959970,848.8182983398
359970,11.2399597168,41849970,1424.7757568359,67544970,319.2106018066,162974970,145.9627380371
374970,25.7097568512,41864970,423.5547180176,67559970,865.5371704102,162989970,764.4600830078
389970,12.2235717773,41879970,1342.6531982422,67574970,151.7676696777,163004970,248.5253753662
404970,38.7793159485,41894970,91.9280471802,67589970,976.9271240234,163019970,852.5985107422
419970,18.1048431396,41909970,1430.2185058594,67604970,170.5302734375,163034970,192.4249420166
434970,19.0196971893,41924970,154.6745605469,67619970,1160.7125244141,163049970,1034.3189697266
449970,20.6805362701,41939970,1486.7332763672,67634970,59.3604354858,163064970,256.8969116211
464970,50.3578796387,41954970,119.5066833496,67649970,979.3502807617,163079970,1082.6170654297
479970,7.5805683136,41969970,1355.4189453125,67664970,189.092010498,163094970,258.1582336426
494970,25.3922691345,41984970,144.3951263428,67679970,898.0255126953,163109970,849.9566040039
509970,9.0807437897,41999970,1370.8931884766,67694970,182.3234863281,163139970,806.0065917969
524970,54.6443748474,42029970,1574.0277099609,67709970,1082.0795898438,163154970,207.8311157227
539970,13.1518650055,42044970,237.9200439453,67724970,178.1094512939,163169970,787.5037841797
554970,38.6039009094,42059970,1511.7413330078,67739970,1150.8048095703,163184970,235.0588378906
569970,10.4767990112,42074970,90.1846542358,67754970,249.2945861816,163199970,952.4812011719
584970,44.8050918579,42089970,1515.2429199219,67769970,980.9424438477,163214970,283.5614624023
599970,6.9116959572,42104970,202.321762085,67784970,312.3360290527,163229970,1050.6561279297
629970,7.3740792274,42119970,1405.5133056641,67799970,993.014831543,163244970,212.3067169189
659970,5.9654688835,42149970,1515.6666259766,67814970,145.5703277588,163259970,907.7093505859
689970,14.2079458237,42164970,2.8402721882,67829970,908.2634277344,163274970,217.335357666
719970,13.9420213699,42179970,1457.4606933594,67844970,100.5222091675,163289970,980.4849853516
749970,12.0908689499,42194970,476.7717590332,67859970,999.5987548828,163304970,242.451751709
